ip_address,possible_NAT,final_annotation_group,final_annotation_class,final_annotation_os_family,final_annotation_os_type,final_annotation_os_version,nat_detector_group,nat_detector_class,nat_detector_os_family,nat_detector_os_type,nat_detector_os_version,hand_annotator_group,hand_annotator_class,hand_annotator_os_family,hand_annotator_os_type,hand_annotator_os_version,mac_annotator_group,mac_annotator_class,mac_annotator_os_family,mac_annotator_os_type,mac_annotator_os_version,sni_annotator_TLS_SNI_group,sni_annotator_TLS_SNI_class,sni_annotator_TLS_SNI_os_family,sni_annotator_TLS_SNI_os_type,sni_annotator_TLS_SNI_os_version,sni_annotator_QUIC_SNI_group,sni_annotator_QUIC_SNI_class,sni_annotator_QUIC_SNI_os_family,sni_annotator_QUIC_SNI_os_type,sni_annotator_QUIC_SNI_os_version,sni_annotator_HTTP_REQUEST_HOST_group,sni_annotator_HTTP_REQUEST_HOST_class,sni_annotator_HTTP_REQUEST_HOST_os_family,sni_annotator_HTTP_REQUEST_HOST_os_type,sni_annotator_HTTP_REQUEST_HOST_os_version,sni_annotator_DNS_NAME_group,sni_annotator_DNS_NAME_class,sni_annotator_DNS_NAME_os_family,sni_annotator_DNS_NAME_os_type,sni_annotator_DNS_NAME_os_version
10.0.30.35,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.18,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.26,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.27,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.21,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.24,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.37,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.23,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.32,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.40.23,False,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,,,,,,,,,,,
10.0.10.48,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.31,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.28,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.49,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.41,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.13,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.37,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.29,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.44,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.48,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.20,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.14,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.26,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.12,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.15,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.19,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.18,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.21,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.11,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.12,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.17,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.31,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.46,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.39,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.13,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.17,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.33,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.40,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.28,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.33,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.26,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.27,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.29,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.33,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.28,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.35,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.40,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.10,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.17,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.14,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.20.42,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.38,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.16,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.43,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.49,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.30,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.34,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.47,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.22,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.38,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.43,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.16,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.32,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.30,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.35,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.38,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.36,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.29,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.42,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.19,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.10,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.45,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.15,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.42,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.20,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.12,False,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,,,,,,,,,,,
10.0.10.40,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.13,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.24,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.18,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.46,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.23,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.39,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.22,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.12,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.40.25,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,
10.0.30.21,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.22,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.31,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.44,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.25,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.40.29,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.30.25,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.43,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.40.19,False,,,,,,,,,,,,,,,,,,,,,,,linux,debian,,,,,,,,,,,,,,,,
10.0.20.11,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.45,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.10.39,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.30.47,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.30.27,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.10,False,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,,,,,,,,,,,
10.0.30.16,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.11,False,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,,,,,,,,,,,
10.0.40.27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.40.14,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,
10.0.20.41,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.11,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.20,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.40.17,False,,,,,,,,,,,,,,,,,,,,,,,linux,debian,,,,,,,,,,,,,,,,
10.0.30.32,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.36,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.15,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.10.25,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.34,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.10,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.20.30,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.40.21,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.20.24,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.40.28,False,,,,,,,,,,,,,,,,,,,,,,,linux,debian,,,,,,,,,,,,,,,,
10.0.30.23,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.10.34,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.20.14,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.20.36,False,,,,,,,,,,,,,,,,,,,,,end-device,,macos,macos,,,,,,,,,,,,,,,,
10.0.30.41,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.40.24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,arch linux,,,,,,
10.0.30.37,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.15,False,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,,,,,,,,,,,
10.0.30.19,False,,,,,,,,,,,,,,,,,,,,,end-device,mobile,android,android,,,,,,,,,,,,,,,,
10.0.40.16,False,,,,,,,,,,,,,,,,,,,,,,,linux,debian,,,,,,,,,,,,,,,,
10.0.10.44,False,,,windows,windows,,,,,,,,,,,,,,,,,,,windows,windows,,,,,,,,,windows,windows,,,,,,
10.0.40.13,False,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,,,,,,,,,,,
10.0.40.18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,ubuntu,,,,,,
10.0.40.20,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
