sequence,group,class,os-family,os-type,os-version
\bnat,nat,nat,,,
air1702,net-device,wifi router,,,
cam,end-device,ip camera,,,
cat9115,net-device,wifi router,,,
client,end-device,workstation,,,
cloud,server,cloud,,,
core,net-device,core router,,,
desktop,end-device,workstation,,,
dns,server,dns server,,,
eduroam,end-device,wifi client,,,
eduroam2,end-device,wifi client,,,
gitlab,server,git server,,,
grid,server,metacentrum,,,
gw,net-device,core router,,,
ibot,server,bot,,,
kerberos,server,authentication server,,,
mail,server,mail server,,,
meta,server,metacentrum,,,
ntb,end-device,workstation,,,
ntp,server,ntp server,,,
office,end-device,workstation,,,
pc,end-device,workstation,,,
phone,end-device,voip,,,
pop,server,mail server,,,
printer,end-device,printer,,,
radius,server,authentication server,,,
radius1,server,authentication server,,,
router,net-device,core router,,,
server,server,,,,
sin,end-device,workstation,,,
sip,end-device,voip,,,
smtp,server,smtp server,,,
tel,end-device,voip,,,
user,end-device,workstation,,,
voip,end-device,voip,,,
vpn,server,vpn server,,,
web,server,web server,,,
wifi,end-device,wifi client,,,
firewall,net-device,firewall,,,
nbk,end-device,,,,
windows,end-device,workstation,windows,windows,
linux,end-device,workstation,linux,,
debian,end-device,workstation,linux,debian,
fedora,end-device,workstation,linux,fedora,
centos,end-device,workstation,linux,centos,
